"title","stars","text","publishedAtDate","likesCount","name","reviewerNumberOfReviews","isLocalGuide","responseFromOwnerDate","responseFromOwnerText","originalLanguage","publishAt","rating","reviewId","reviewOrigin","reviewUrl","reviewerId","reviewerPhotoUrl","reviewerUrl","textTranslated","translatedLanguage","visitedIn"
"The Dean Campustown","3","I lived at the Dean for 3 years, yes, you read that right. At first it was pretty good. Yes, the trash rooms got a little backed up during move-in week and after breaks but usually management did a good job cleaning it up in an okay time frame. It was also pretty reasonably priced ($860 a month!). Then they jacked up the rent every single year after to the current price of $1025 a month for a single room in a 4b/2b. Which is absolutely insane. They charge over $4000 a MONTH for an apartment that is barely 1200 square feet.

Not only that, but during fall move-in there was an atrocious amount of fruit flies. They swarmed the apartment complex for close to a month before management finally got people in hazmat suits to clean up the trash rooms. They also closed the trash rooms on multiple of the lower floors for a while because they could not get people to come in a deal with the mess quickly enough.

Maintenance response is pretty quick but sometimes they kind of just don’t fully fix the problem.

The leasing office staff are nice, and when something is in their power to do they get it done very quickly. For example, when I came back this year I noticed one of the bedrooms in my unit smelled moldy and I notified the front desk and the next day they had someone come in to tear up and re-do all of the carpeting.

So overall, it’s a beautiful apartment complex but management has its issues.","2026-04-08T21:46:57.429Z","0","Joy","4","false",,,"en","a week ago",,"Ci9DQUlRQUNvZENodHljRjlvT25sME9HZDNNSEp4WlVJeFlXOVJRVVZPV0VkSU5VRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25sME9HZDNNSEp4WlVJeFlXOVJRVVZPV0VkSU5VRRAB!2m1!1s0x0:0x360d6f786d635e1a!3m1!1s2@1:CAIQACodChtycF9oOnl0OGd3MHJxZUIxYW9RQUVOWEdINUE%7C%7C?hl=en","111749260284909323764","https://lh3.googleusercontent.com/a-/ALV-UjUan7wxPgjrY9PLdHZsaxMr-l6NoXO74mi5ekXa8HxXGhYOjOD4=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/111749260284909323764?hl=en",,,
"The Dean Campustown","5",,"2026-03-27T20:58:01.553Z","0","Bhuvan Kala","1","false","2026-03-31T03:47:36.000Z","Bhuvan, 5-star ratings always make our day shine a little brighter! Thank you for sharing your delight in the community. We look forward to continuing to provide you with a great place to call home!",,"3 weeks ago",,"Ci9DQUlRQUNvZENodHljRjlvT25GQ1ZtVnZaVjlJVVVwYVMwaEtSekJ3T1RsM1FtYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GQ1ZtVnZaVjlJVVVwYVMwaEtSekJ3T1RsM1FtYxAB!2m1!1s0x0:0x360d6f786d635e1a!3m1!1s2@1:CAIQACodChtycF9oOnFCVmVvZV9IUUpaS0hKRzBwOTl3Qmc%7C%7C?hl=en","113352943057152905060","https://lh3.googleusercontent.com/a/ACg8ocKsiP27lYqI1jSvNcm8s7P7nGhI8EWIwksbEV0qgfdCJBTPCQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/113352943057152905060?hl=en",,,
"The Dean Campustown","5",,"2026-03-26T14:15:56.308Z","0","Liam Fox","0","true","2026-03-28T03:10:07.000Z","Liam, 5-star ratings always make our day shine a little brighter! Thank you for sharing your delight of the community. We are committed to continuing to provide you with a great experience!",,"3 weeks ago",,"Ci9DQUlRQUNvZENodHljRjlvT25wdFVFSkVRa0pwVkc5RloweE1ORWhJT0ZSV2IzYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wdFVFSkVRa0pwVkc5RloweE1ORWhJT0ZSV2IzYxAB!2m1!1s0x0:0x360d6f786d635e1a!3m1!1s2@1:CAIQACodChtycF9oOnptUEJEQkJpVG9FZ0xMNEhIOFRWb3c%7C%7C?hl=en","108383067625940504207","https://lh3.googleusercontent.com/a-/ALV-UjX0hU0H35Qp-Rwl2T9W0gg-P5I-oaM1jFxF7kjY9fyto4D9rK3_0g=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/108383067625940504207?hl=en",,,
"The Dean Campustown","5","Amazing! Lived here for two years.","2025-11-12T22:06:49.408Z","0","Yuxuan Han","2","false","2025-11-14T03:29:13.000Z","Yuxuan, we’re so glad to hear you’ve enjoyed living here for the past two years! It’s wonderful to know you’ve had such a positive experience, and we hope to keep providing a home you continue to love. If you ever need anything, please let us know!","en","5 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT2sxcldHaHhWbTlMYm5sb2NUQjJiSGhwV2t4UGNVRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxcldHaHhWbTlMYm5sb2NUQjJiSGhwV2t4UGNVRRAB!2m1!1s0x0:0x360d6f786d635e1a!3m1!1s2@1:CAIQACodChtycF9oOk1rWGhxVm9LbnlocTB2bHhpWkxPcUE%7C%7C?hl=en","104953621114964825079","https://lh3.googleusercontent.com/a/ACg8ocJujAuiKxPrHD3rrAv1h-aXxslRDTvF3V4GCbRmCNzYvwE0gw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/104953621114964825079?hl=en",,,
"The Dean Campustown","5","A really good place to live with great amenities!","2025-11-12T21:12:53.918Z","0","Harsh Singhal","3","false","2025-11-14T03:24:54.000Z","Harsh, reviews like yours always brighten our day! We’re so glad to hear you’ve found our community a great place to live and that you’re enjoying the amenities. Our team works hard to create a community our residents can be proud of, and it means a lot to see that effort recognized—thank you!","en","5 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT21oSVpTMVlTVGxvVjNJd0xWRkdMWGhyU1V0ek5HYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21oSVpTMVlTVGxvVjNJd0xWRkdMWGhyU1V0ek5HYxAB!2m1!1s0x0:0x360d6f786d635e1a!3m1!1s2@1:CAIQACodChtycF9oOmhIZS1YSTloV3IwLVFGLXhrSUtzNGc%7C%7C?hl=en","106868579866973787374","https://lh3.googleusercontent.com/a-/ALV-UjXGHifHLjcoT8PeZe680L-yBonn95pp-rjoQ87ECfg0vfbPTxkB=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/106868579866973787374?hl=en",,,
"The Dean Campustown","5",,"2025-11-07T20:12:02.103Z","0","Shub Pereira","0","false","2025-11-11T03:45:43.000Z","Thank you for your 5-star rating, Shub! It is great to know you had a positive experience in our community. Please do not hesitate to reach out if you need anything.",,"5 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT2s1WE4wWklWVUUxWjFneGNGRmZUblJHY2t4Q1ZrRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1WE4wWklWVUUxWjFneGNGRmZUblJHY2t4Q1ZrRRAB!2m1!1s0x0:0x360d6f786d635e1a!3m1!1s2@1:CAIQACodChtycF9oOk5XN0ZIVUE1Z1gxcFFfTnRGckxCVkE%7C%7C?hl=en","114996692876460402605","https://lh3.googleusercontent.com/a/ACg8ocKkOflmN76lV9Yvt710Jm29aucl5DTha3OEfT2RSEaZUGX6jA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/114996692876460402605?hl=en",,,
"The Dean Campustown","5","i’m only writing this because of Isha she is such a breathe of fresh air and i loved her tour! Furthermore the complex is lovey, the location is great, the rooms are well designed, and the views are beautiful.","2025-09-27T19:29:21.231Z","0","Uma Bisal","9","true","2025-09-30T02:39:01.000Z","Uma, we’re thrilled to hear that Isha made such a positive impression during your tour! It’s wonderful that you also enjoyed the community, location, home design, and views. We’re so glad you had such a great experience!","en","6 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT2xWQlZsWTRhMVJNVGtSUWQydHZUMnhCZVVZNFFVRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWQlZsWTRhMVJNVGtSUWQydHZUMnhCZVVZNFFVRRAB!2m1!1s0x0:0x360d6f786d635e1a!3m1!1s2@1:CAIQACodChtycF9oOlVBVlY4a1RMTkRQd2tvT2xBeUY4QUE%7C%7C?hl=en","107736729879546231025","https://lh3.googleusercontent.com/a/ACg8ocJuv2eFBZlt492gVyEK9TUVsy167FPmvAV67zBexTM-OdvSujo=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/107736729879546231025?hl=en",,,
"The Dean Campustown","1","The biggest issue I have with this apartment is the package pickup system. Unlike most apartments, the packages here are not organized by unit numbers. Instead, all deliveries are placed together in a single room. This means that every time I need to pick up a package, I end up spending at least half an hour searching for it. It’s extremely inconvenient, and I have never seen any other apartment handle packages in such a disorganized way.
On top of that, the system feels very unsafe. Since packages are all mixed together, it’s easy for someone to pick up the wrong one, and this can cause other residents’ deliveries to go missing. This has already happened to one of my friends, who lost a package in this system.
A much safer and more efficient option would be to connect the packages to residents’ unit numbers and have the front desk staff hand them out after verifying the unit. That way, everyone can receive their packages quickly and securely without the current confusion and risk.","2025-09-26T22:08:59.601Z","0","Ashley Yang","1","false","2025-10-01T12:37:46.000Z","Ashley, thank you for sharing your feedback with us. We understand how important successful deliveries are for our residents. Your concerns are important to us, and we will share your feedback with our team as we continue looking for ways to improve the process. In the meantime, we’d like the chance to speak with you directly and explore possible solutions. Please reach out to us at info@thedeancampustown.com.","en","6 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT2xWWGVucE1XakJJWTBkUldGVjNORXhpVkMxb1RIYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWWGVucE1XakJJWTBkUldGVjNORXhpVkMxb1RIYxAB!2m1!1s0x0:0x360d6f786d635e1a!3m1!1s2@1:CAIQACodChtycF9oOlVXenpMWjBIY0dRWFV3NExiVC1oTHc%7C%7C?hl=en","102118723118650621813","https://lh3.googleusercontent.com/a/ACg8ocJsB-zuGPdcTeYwEo5YsTlarRQAtjedGbF6vJvmAS0JX_lxUg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/102118723118650621813?hl=en",,,
"The Dean Campustown","5",,"2025-09-24T04:20:40.321Z","0","Taylor Lutz","3","false","2025-09-25T03:31:46.000Z","Taylor, we are always encouraged to receive a 5-star rating! We truly appreciate you taking the time to leave us a perfect rating, and we hope you continue to enjoy the community!",,"6 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT2pjeVNUbFpNemRZWjJaUU0zbzFjR1ZQYVdob2VGRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pjeVNUbFpNemRZWjJaUU0zbzFjR1ZQYVdob2VGRRAB!2m1!1s0x0:0x360d6f786d635e1a!3m1!1s2@1:CAIQACodChtycF9oOjcySTlZMzdYZ2ZQM3o1cGVPaWhoeFE%7C%7C?hl=en","117686609655128688750","https://lh3.googleusercontent.com/a/ACg8ocKNKagfrJOwDr3mMlSaBsqOOOHi_C1qu_kqccMaCKy_idITPg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/117686609655128688750?hl=en",,,
"The Dean Campustown","5","I had the pleasure of working with and talking to Aniya, and I can confidentiality say that she is an outstanding Leasing Marketing Manager.  She has the ability to combine strong marketing strategies with exceptional Leasing expertise.  This sets her apart from other Leasing Managers I have dealt with.  Aniya is friendly and she made me feel comfortable and excited about my child living at the Dean.

Aniya is professional and she communications well. Most of all she was willing to answer all of our questions and kept a bubbly attitude the whole time we interacted with her.

If your looking for results-oriented, reliable, and forward thinking Leasing Marketing Manager Aniya is the person to talk to.

Great job Aniya,

Empress","2025-09-24T04:19:53.606Z","0","Empress B","7","false","2025-09-25T03:29:17.000Z","Empress, thank you so much for your thoughtful review! We’re delighted to hear about your positive experience with Aniya. Her professionalism, expertise, and welcoming personality truly set her apart, and we’re so glad she was able to make the process enjoyable and reassuring for you and your family. We’ll be sure to share your kind words with her—she’ll be thrilled to know the impact she made. Welcome to the community!","en","6 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT2sxbFVWVlVOMUZoZW05M1RVVTJOamhvU0dNeWFVRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxbFVWVlVOMUZoZW05M1RVVTJOamhvU0dNeWFVRRAB!2m1!1s0x0:0x360d6f786d635e1a!3m1!1s2@1:CAIQACodChtycF9oOk1lUVVUN1Fhem93TUU2NjhoSGMyaUE%7C%7C?hl=en","105445293729530147232","https://lh3.googleusercontent.com/a-/ALV-UjUHFlYVt17LbfeWNrWaHmce8WMCSCToYum803GhbHpRglhkgoCs=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105445293729530147232?hl=en",,,
