"title","stars","text","publishedAtDate","likesCount","name","reviewerNumberOfReviews","isLocalGuide","responseFromOwnerDate","responseFromOwnerText","originalLanguage","publishAt","rating","reviewId","reviewOrigin","reviewUrl","reviewerId","reviewerPhotoUrl","reviewerUrl","textTranslated","translatedLanguage","visitedIn"
"Hub on Campus Champaign - Daniel","1","Unprofessional,rude","2026-04-08T00:02:29.221Z","0","Chase Valken","6","false","2026-04-14T17:21:03.000Z","We're truly sorry to hear about your experience. Our goal is always to provide exceptional service and we regret that we missed the mark on this occasion. We would like to look into this matter further, could you please provide more details about the incident? Your feedback is crucial in helping us improve our services. Please send your concerns to live@hubchampaign.com. Thanks so much!","en","a week ago",,"Ci9DQUlRQUNvZENodHljRjlvT210dVRXWlhXWGxDTm5GaFVrNU1XVk5zYUdOM2RGRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT210dVRXWlhXWGxDTm5GaFVrNU1XVk5zYUdOM2RGRRAB!2m1!1s0x0:0xb243d636d4f4697!3m1!1s2@1:CAIQACodChtycF9oOmtuTWZXWXlCNnFhUk5MWVNsaGN3dFE%7C%7C?hl=en","117631906851846916107","https://lh3.googleusercontent.com/a/ACg8ocK4D9KF9ta1afyAek8G7nlsNn_DT8CGsuWKrqTjhK7xLz8AGA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/117631906851846916107?hl=en",,,
"Hub on Campus Champaign - Daniel","5","Living in the penthouse is insane(ly expensive)","2026-03-20T00:03:35.044Z","0","Tauntaun","219","true",,,"en","Edited 4 weeks ago",,"Ci9DQUlRQUNvZENodHljRjlvT2xsdVIxQkpkV1pRV2swelRsOTJWMU5mVWpaR1VYYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xsdVIxQkpkV1pRV2swelRsOTJWMU5mVWpaR1VYYxAB!2m1!1s0x0:0xb243d636d4f4697!3m1!1s2@1:CAIQACodChtycF9oOlluR1BJdWZQWk0zTl92V1NfUjZGUXc%7C%7C?hl=en","102292142499014543496","https://lh3.googleusercontent.com/a/ACg8ocLUt1KMciUDHS1aXN_BNGos6CpmQ_2JE0h0ICv4Qd9MjfwF0Q=s1920-c-rp-mo-ba5-br100","https://www.google.com/maps/contrib/102292142499014543496?hl=en",,,
"Hub on Campus Champaign - Daniel","5","Matteo was an amazing tour guide! Was very helpful and informative.","2026-02-20T21:15:49.366Z","0","Collin Mizner","3","false","2026-03-05T02:42:31.000Z","We're thrilled to hear that you had an amazing tour with Matteo! It’s fantastic to know he was a highlight of your experience. Thanks for sharing your positive feedback!","en","a month ago",,"Ci9DQUlRQUNvZENodHljRjlvT2tKVVdVcG1NSGRDYzJZMWNuUkVNWGRPV2xSTVdrRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKVVdVcG1NSGRDYzJZMWNuUkVNWGRPV2xSTVdrRRAB!2m1!1s0x0:0xb243d636d4f4697!3m1!1s2@1:CAIQACodChtycF9oOkJUWUpmMHdCc2Y1cnREMXdOWlRMWkE%7C%7C?hl=en","117912245467676878185","https://lh3.googleusercontent.com/a-/ALV-UjUKcSXgZLUoemTpGgmTGWNl67HL1Kh7YAXc0t1eAxRXr6-Svgut=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/117912245467676878185?hl=en",,,
"Hub on Campus Champaign - Daniel","5",,"2026-01-28T16:55:46.030Z","0","Liam Fox","0","true","2026-02-06T17:19:39.000Z","Thank you for the 5-star rating! ",,"2 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT214RlJtTXRkbDl4VURnMWIwVnBRemhsUkVGaGMzYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT214RlJtTXRkbDl4VURnMWIwVnBRemhsUkVGaGMzYxAB!2m1!1s0x0:0xb243d636d4f4697!3m1!1s2@1:CAIQACodChtycF9oOmxFRmMtdl9xUDg1b0VpQzhlREFhc3c%7C%7C?hl=en","108383067625940504207","https://lh3.googleusercontent.com/a-/ALV-UjX0hU0H35Qp-Rwl2T9W0gg-P5I-oaM1jFxF7kjY9fyto4D9rK3_0g=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/108383067625940504207?hl=en",,,
"Hub on Campus Champaign - Daniel","5","Matteo gave us a great and thorough tour of the hub. Loved the panoramic pool view alongside all the other amenities.","2025-12-01T23:19:21.692Z","0","Nathaniel Day","1","false","2025-12-11T20:27:42.000Z","We're thrilled to hear that you had a great tour with Matteo and enjoyed our panoramic pool view along with the other amenities. Your feedback is highly appreciated. Please don't hesitate to get in touch if there's anything else we can assist you with!","en","4 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT25CSFdHOWtkRVJPVjNsTWVGaDZOMWx4Y2tGalRVRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CSFdHOWtkRVJPVjNsTWVGaDZOMWx4Y2tGalRVRRAB!2m1!1s0x0:0xb243d636d4f4697!3m1!1s2@1:CAIQACodChtycF9oOnBHWG9kdEROV3lMeFh6N1lxckFjTUE%7C%7C?hl=en","108068404652542358198","https://lh3.googleusercontent.com/a/ACg8ocKfkx15cEs_HOMYKvx_9JLrNisxf5wFV33vJuHmu39nIXijfA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/108068404652542358198?hl=en",,,
"Hub on Campus Champaign - Daniel","5","Matteo was a wonderful guide. Very informative and kind. He made me want to sign the lease the day he gave the showing.","2025-12-01T23:18:51.037Z","0","Diego Mendoza","1","false","2025-12-11T20:27:14.000Z","We're thrilled to hear about your positive experience with Matteo! He certainly sets a high standard for providing knowledgeable and warm service. Your feedback assures us that he is doing an excellent job. We’re glad you had such a great showing and look forward to potentially welcoming you as a resident soon!","en","4 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT2xaSVkxRXpjV2QwWlhFdFFURkVNRGxhZWxGaFJrRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xaSVkxRXpjV2QwWlhFdFFURkVNRGxhZWxGaFJrRRAB!2m1!1s0x0:0xb243d636d4f4697!3m1!1s2@1:CAIQACodChtycF9oOlZIY1EzcWd0ZXEtQTFEMDlaelFhRkE%7C%7C?hl=en","104960648429581315041","https://lh3.googleusercontent.com/a-/ALV-UjUr28eW3vLU59U3IGQl2006nozqok5nG8Ju8XHa-SELFFLG6wTu=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/104960648429581315041?hl=en",,,
"Hub on Campus Champaign - Daniel","5",,"2025-12-01T22:30:17.279Z","0","Amartya Kanodia","0","false","2025-12-11T20:26:50.000Z","Thank you so much for your 5-star rating. We're thrilled to know that our service met your expectations. Your support as a resident is greatly appreciated and we hope to continue providing excellent service. Please feel free to reach out to Live@HubChampaign.com or call us at 217-318-5770 if you need anything in the future. Thanks again!",,"4 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT2sxd1pYTTJZbGxGVlVNMmNHcGZUWEpZYm5WeWFYYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxd1pYTTJZbGxGVlVNMmNHcGZUWEpZYm5WeWFYYxAB!2m1!1s0x0:0xb243d636d4f4697!3m1!1s2@1:CAIQACodChtycF9oOk1wZXM2YllFVUM2cGpfTXJYbnVyaXc%7C%7C?hl=en","105861342338785283304","https://lh3.googleusercontent.com/a/ACg8ocJYSgkXGNYiQ_OLZbw57GXl_teN7QJfg9eyfrEjklJ7k_SCLg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105861342338785283304?hl=en",,,
"Hub on Campus Champaign - Daniel","1","I have been living at HUB Champaign, and the experience has been consistently uncomfortable due to intrusive and unprofessional conduct from staff, especially around lease renewal pressure.

Starting from the first week after move-in, I already had maintenance issues, my door lock battery died, and a staff member entered my unit for the second time. During that visit, he walked directly down the hallway to my bedroom door and knocked without asking for permission first, which felt extremely inappropriate, especially as an unfamiliar male staff member.

From there, the renewal pressure escalated:
Week 1: multiple renewal marketing emails before I had even settled in.
Week 2: flyers were pushed under every resident’s door without consent.
Week 13: staff began knocking on every unit asking why we were not renewing, pressing residents to give a reason. The interaction felt intrusive and lacked basic courtesy.

On top of that, the building has had repeated issues (door lock failures, leaks, smoke alarm problems), and the tone from certain staff members has often felt dismissive rather than professional.

I DO NOT RECOMMEND anyone to live here. The price does not match the quality of service, maintenance, or the overall living experience.","2025-11-21T01:29:20.111Z","3","T","5","false","2025-12-11T20:26:00.000Z","We're truly sorry to hear that your experience at HUB Champaign has been less than satisfactory. Any instance of unprofessional conduct from our staff is highly unacceptable and we assure you that we take your concerns seriously. We apologize for the discomfort caused by the door lock issues, unexpected visits, and lease renewal pressure you've experienced. The maintenance problems you mentioned are certainly not indicative of the service standard we strive for. Your feedback about intrusive marketing for lease renewals and dismissive attitudes from certain staff members has been duly noted as it helps us improve our amenities and services.

Please accept our deepest apologies if we made you feel uncomfortable or pressured in any way throughout your stay with us. The quality of life for every resident matters greatly to us and it saddens us that yours was negatively impacted during this time period. Please feel free to reach out to our email at Live@HubChampaign.com or call us at 217-318-5770 if you have any further concerns.
","en","4 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT2pKVUxVbGZkV3BqV1ZGTE1DMVdXVjlpVWtGNGExRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pKVUxVbGZkV3BqV1ZGTE1DMVdXVjlpVWtGNGExRRAB!2m1!1s0x0:0xb243d636d4f4697!3m1!1s2@1:CAIQACodChtycF9oOjJULUlfdWpjWVFLMC1WWV9iUkF4a1E%7C%7C?hl=en","117729414777242956668","https://lh3.googleusercontent.com/a/ACg8ocJ2FW5MWmrhDnd2lVgb5QpMqjUAJcrgS5kHb3hyTh_oKG1bJQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/117729414777242956668?hl=en",,,
"Hub on Campus Champaign - Daniel","5",,"2025-11-01T05:08:34.054Z","0","Léonard Crt","8","false","2025-11-14T16:26:17.000Z","Thank you for the 5-star rating!",,"5 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT2t4aVVVMXNaMkZzWHpBek0wbDFiRFpsV2treWRHYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t4aVVVMXNaMkZzWHpBek0wbDFiRFpsV2treWRHYxAB!2m1!1s0x0:0xb243d636d4f4697!3m1!1s2@1:CAIQACodChtycF9oOkxiUU1sZ2FsXzAzM0l1bDZlWkkydGc%7C%7C?hl=en","104207045835268651206","https://lh3.googleusercontent.com/a-/ALV-UjXLOxAynboJPXhmzwQiZsv-rskR5b632SGyTTymZoFjaEtYSsoY=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/104207045835268651206?hl=en",,,
"Hub on Campus Champaign - Daniel","5","Mateo was very through and informative when giving a tour of the apartment building and helped answer clarifying questions.","2025-10-14T20:42:30.136Z","0","Hailey Griffin","1","false","2025-10-30T20:09:46.000Z","We are thrilled to hear about your positive experience with Mateo. He strives to provide detailed and clear information during tours of our apartment building, and we're glad he was able to assist you with your questions. Thank you for sharing your experience, we appreciate it wholeheartedly!","en","6 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT25aTmFtTTROVjlXYkVsVVpEWjZVblV3U1ZWMU4yYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25aTmFtTTROVjlXYkVsVVpEWjZVblV3U1ZWMU4yYxAB!2m1!1s0x0:0xb243d636d4f4697!3m1!1s2@1:CAIQACodChtycF9oOnZNamM4NV9WbElUZDZ6UnUwSVV1N2c%7C%7C?hl=en","104610394470801694722","https://lh3.googleusercontent.com/a-/ALV-UjWElVKFWGxEtvxvcsQ5DMAE1wVT9fCTfIG2vvkap1Pw53k1-vjm=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/104610394470801694722?hl=en",,,
